elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model
110384.0,304.0,0.1237033571885782,0.4375,0.4375,0.4379699230194092,0.3820333090791494,ada,10,16,0.13193257487826682,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-43f0f7b894db441e976b2f52910be767,ada.ft-43f0f7b894db441e976b2f52910be767
116696.0,440.0,0.0049798127480534,0.5,0.5,0.4154135286808014,0.3787297908092338,curie,15,4,0.24756946157134346,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-b9fe866dce944aeab1c725c1a44ba3b3,curie.ft-b9fe866dce944aeab1c725c1a44ba3b3
76068.0,292.0,0.0811897892004741,0.75,0.75,0.4304511249065399,0.3842429475294319,curie,10,4,0.15292892500025615,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-d81783ddf9b84e04a070725b7e92577e,curie.ft-d81783ddf9b84e04a070725b7e92577e
94064.0,304.0,0.1410344389045931,0.625,0.625,0.481203019618988,0.467453356932473,ada,10,8,0.13200984800885868,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-6ad325166c4f48b1a018409bbccc991a,ada.ft-6ad325166c4f48b1a018409bbccc991a
166608.0,464.0,0.1178294681825225,0.6875,0.6875,0.3609022498130798,0.3297818296013688,curie,15,16,0.19240077722156612,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-d6a99d6bf0ba4fec9246aed208b658cf,curie.ft-d6a99d6bf0ba4fec9246aed208b658cf
117436.0,444.0,0.0525889361007656,0.5,0.5,0.4830827116966247,0.4707019851473833,ada,15,4,0.12662857655261117,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-c229e2dfb383487b903c21d0bcb2b870,ada.ft-c229e2dfb383487b903c21d0bcb2b870
213984.0,608.0,0.1298123950290174,0.625,0.625,0.3477443754673004,0.3179749475453732,babbage,20,16,0.09234548274246024,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-f8ea6862e2b44d00a3cb0aec9f1f3217,babbage.ft-f8ea6862e2b44d00a3cb0aec9f1f3217
93288.0,296.0,0.105507270608291,0.625,0.625,0.3176691830158233,0.3078934818756594,curie,10,8,0.1438026444912347,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-5f2e7af979654ace89b3c851fe3fa0a1,curie.ft-5f2e7af979654ace89b3c851fe3fa0a1
139712.0,448.0,0.1051940644888283,0.625,0.625,0.3515037596225738,0.3336986543554983,babbage,15,8,0.0886160424233671,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-e45d5b21718f437c81cf1b15e1928328,babbage.ft-e45d5b21718f437c81cf1b15e1928328
38996.0,148.0,0.1251340169398757,0.5,0.5,0.4041353464126587,0.3350539777116533,curie,5,4,0.16756500123269347,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-43f4ff592c4944fa9e27af7720fcb612,curie.ft-43f4ff592c4944fa9e27af7720fcb612
