elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model
75144.0,296.0,0.0513300758296177,0.5,0.5,0.4981203079223633,0.47311987844062,babbage,10,4,0.2807247725405341,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-bf16a96aab7543d0972b81ca05e4db4b,babbage.ft-bf16a96aab7543d0972b81ca05e4db4b
75304.0,296.0,0.0251991045801885,0.5,0.5,0.5037593841552734,0.4734316506336687,babbage,10,4,0.29050457822283116,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-3b0f023051dc48c7a870237e0d6c3dd9,babbage.ft-3b0f023051dc48c7a870237e0d6c3dd9
77096.0,296.0,0.0456030634776917,0.5,0.5,0.5093985199928284,0.4640216302836289,babbage,10,4,0.2951531711374432,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-0a628f61ed184e6bad42945ccc3fac00,babbage.ft-0a628f61ed184e6bad42945ccc3fac00
77672.0,296.0,0.0608588441209008,1.0,1.0,0.4943608939647674,0.4527639252968111,babbage,10,4,0.18489199841132908,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-372e3b8c69024ba183e626abc1213cb1,babbage.ft-372e3b8c69024ba183e626abc1213cb1
76488.0,296.0,0.023262997618461,0.75,0.75,0.5921052694320679,0.5915781653196719,babbage,10,4,0.31516840959847026,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-9d3655b67c9d470eaed258d401041d9c,babbage.ft-9d3655b67c9d470eaed258d401041d9c
77448.0,296.0,0.0245913749469904,0.75,0.75,0.4248120188713074,0.3805223936802884,babbage,10,4,0.2805002951690232,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-ede613ab80654bc0b5b484aea8473da9,babbage.ft-ede613ab80654bc0b5b484aea8473da9
76648.0,296.0,0.0615356700087324,0.5,0.5,0.5714285969734192,0.5508276455269829,babbage,10,4,0.16080267137709586,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-1d8e196087ba477093633fd34526f563,babbage.ft-1d8e196087ba477093633fd34526f563
76680.0,296.0,0.031078826999556,1.0,1.0,0.3552631437778473,0.3238845803041645,babbage,10,4,0.31438204356662247,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-a57d7bae442145908df2bcbc24942cd2,babbage.ft-a57d7bae442145908df2bcbc24942cd2
76072.0,296.0,0.0547553615026205,0.0,0.0,0.4774436056613922,0.4636702298748396,babbage,10,4,0.23044921334741614,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-488a42af591040f2911fd31dc5360500,babbage.ft-488a42af591040f2911fd31dc5360500
79052.0,300.0,0.0364288586558766,0.25,0.25,0.4924812018871307,0.4743007258247675,babbage,10,4,0.2502146705684899,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-58f4d00d162240ee85eae6c77ecfb176,babbage.ft-58f4d00d162240ee85eae6c77ecfb176
77676.0,300.0,0.0481403755509328,0.75,0.75,0.4266917407512665,0.3981961351879435,babbage,10,4,0.30588229953042045,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-e5ef872bae64470498caf1f0d719c788,babbage.ft-e5ef872bae64470498caf1f0d719c788
